timestamp,ambient_temp,total_load_kw,p1_critical_kw,p2_essential_kw,p3_deferrable_kw,p4_noncritical_kw
2019-06-25 13:06:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-25 13:09:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:49:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:51:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:52:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:53:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:54:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:56:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:57:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 10:58:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:01:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:02:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:08:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:12:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:15:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:16:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:17:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:19:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:20:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:21:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:22:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:23:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:24:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:27:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:28:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:29:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:30:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:33:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:34:00,0.0,750.0,225.0,262.5,150.0,112.5
2019-06-27 11:38:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:39:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:40:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:44:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:45:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:46:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:53:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:54:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:57:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:58:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 11:59:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:00:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:01:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:02:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:03:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:04:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:05:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:06:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:07:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:08:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:09:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:10:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:11:00,34.0,1158.0,347.4,405.3,231.6,173.7
2019-06-27 12:12:00,34.0,1158.0,347.4,405.3,231.6,173.7
